seed_id,n,q,q2,total_reward,child_count,path_ids,mutator_methods,updated_at
1,4,0,0,0,0,"[""1""]",,2025-12-29 10:50:00.039011+00
2,4,0,0,0,0,"[""2""]",,2025-12-29 10:50:12.086927+00
3,4,0,0,0,0,"[""3""]",,2025-12-29 10:50:21.391461+00
4,4,0,0,0,0,"[""4""]",,2025-12-29 10:50:29.286065+00
5,4,0,0,0,0,"[""5""]",,2025-12-29 10:50:40.838001+00
6,4,0,0,0,0,"[""6""]",,2025-12-29 10:51:12.448693+00
7,4,0,0,0,0,"[""7""]",,2025-12-29 10:51:41.972848+00
8,4,0,0,0,0,"[""8""]",,2025-12-29 10:51:55.092853+00
9,4,0,0,0,0,"[""9""]",,2025-12-29 10:52:11.018981+00
10,4,0,0,0,0,"[""10""]",,2025-12-29 10:53:52.697637+00
11,4,0,0,0,0,"[""11""]",,2025-12-29 10:54:22.496061+00
12,4,0,0,0,0,"[""12""]",,2025-12-29 10:52:17.630966+00
13,4,0,0,0,0,"[""13""]",,2025-12-29 10:54:07.347249+00
14,4,0,0,0,0,"[""14""]",,2025-12-29 10:52:30.728518+00
15,4,0,0,0,0,"[""15""]",,2025-12-29 10:53:23.717288+00
16,4,0,0,0,0,"[""16""]",,2025-12-29 10:54:33.002224+00
17,4,0,0,0,0,"[""17""]",,2025-12-29 10:54:45.191707+00
18,5,0.2,1,1,1,"[""18""]","[""shorten""]",2025-12-29 09:39:10.141746+00
19,4,0,0,0,0,"[""19""]",,2025-12-29 10:55:57.419684+00
20,4,0,0,0,0,"[""20""]",,2025-12-29 10:56:45.021342+00
21,4,0,0,0,0,"[""21""]",,2025-12-29 10:56:55.157267+00
22,4,0,0,0,0,"[""22""]",,2025-12-29 11:19:07.375723+00
23,4,0,0,0,0,"[""23""]",,2025-12-29 11:20:11.040332+00
24,4,0,0,0,0,"[""24""]",,2025-12-29 10:57:02.184313+00
25,4,0,0,0,0,"[""25""]",,2025-12-29 10:55:21.479351+00
26,4,0,0,0,0,"[""26""]",,2025-12-29 11:20:20.257774+00
27,4,0,0,0,0,"[""27""]",,2025-12-29 10:56:06.582734+00
28,4,0,0,0,0,"[""28""]",,2025-12-29 11:20:35.702464+00
29,5,0.2,1,1,1,"[""29""]","[""expand""]",2025-12-29 09:43:11.777041+00
30,4,0,0,0,0,"[""30""]",,2025-12-29 10:57:11.776365+00
31,4,0,0,0,0,"[""31""]",,2025-12-29 11:21:14.293217+00
32,4,0,0,0,0,"[""32""]",,2025-12-29 11:19:18.774145+00
33,5,0.2,1,1,1,"[""33""]","[""rephrased""]",2025-12-29 11:18:29.083869+00
34,5,0.2,1,1,1,"[""34""]","[""rephrased""]",2025-12-29 09:48:14.570994+00
35,4,0,0,0,0,"[""35""]",,2025-12-29 11:20:49.667297+00
36,4,0,0,0,0,"[""36""]",,2025-12-29 11:21:21.551471+00
37,4,0,0,0,0,"[""37""]",,2025-12-29 11:20:57.35631+00
38,4,0,0,0,0,"[""38""]",,2025-12-29 11:23:02.638037+00
39,4,0,0,0,0,"[""39""]",,2025-12-29 11:21:04.866147+00
40,4,0.25,1,1,1,"[""40""]","[""crossover""]",2025-12-29 11:24:44.807785+00
41,4,0,0,0,0,"[""41""]",,2025-12-29 10:53:42.885653+00
42,4,0,0,0,0,"[""42""]",,2025-12-29 10:55:42.08793+00
43,4,0,0,0,0,"[""43""]",,2025-12-29 11:18:49.178954+00
44,3,0,0,0,0,"[""44""]",,2025-12-29 09:15:35.554517+00
45,4,0,0,0,0,"[""45""]",,2025-12-29 11:19:27.938506+00
46,4,0,0,0,0,"[""46""]",,2025-12-29 11:18:59.128651+00
47,4,0,0,0,0,"[""47""]",,2025-12-29 10:56:14.272294+00
48,4,0,0,0,0,"[""48""]",,2025-12-29 11:21:36.192381+00
49,5,0.2,1,1,1,"[""49""]","[""rephrased""]",2025-12-29 09:53:18.107885+00
50,3,0,0,0,0,"[""50""]",,2025-12-29 09:14:55.393057+00
51,3,0,0,0,0,"[""51""]",,2025-12-29 09:16:21.291008+00
52,4,0,0,0,0,"[""52""]",,2025-12-29 11:23:14.082423+00
53,3,0,0,0,0,"[""53""]",,2025-12-29 09:32:11.354058+00
54,5,0.2,1,1,1,"[""54""]","[""crossover""]",2025-12-29 10:05:30.931843+00
55,4,0,0,0,0,"[""55""]",,2025-12-29 11:19:39.812031+00
56,7,0.285714285714286,2,2,2,"[""56""]","[""crossover""]",2025-12-29 10:49:51.633522+00
57,3,0,0,0,0,"[""57""]",,2025-12-29 09:15:55.60467+00
58,3,0,0,0,0,"[""58""]",,2025-12-29 09:15:19.118282+00
59,4,0,0,0,0,"[""59""]",,2025-12-29 10:56:22.006592+00
60,3,0,0,0,0,"[""60""]",,2025-12-29 09:16:27.014428+00
61,4,0,0,0,0,"[""61""]",,2025-12-29 11:21:48.500953+00
62,3,0,0,0,0,"[""62""]",,2025-12-29 09:22:10.472362+00
63,4,0,0,0,0,"[""63""]",,2025-12-29 11:23:24.081486+00
64,3,0,0,0,0,"[""64""]",,2025-12-29 09:33:01.608461+00
65,4,0,0,0,0,"[""65""]",,2025-12-29 11:19:56.633856+00
66,3,0,0,0,0,"[""66""]",,2025-12-29 09:16:04.476548+00
67,3,0,0,0,0,"[""67""]",,2025-12-29 09:32:21.948731+00
68,3,0,0,0,0,"[""68""]",,2025-12-29 09:22:32.861952+00
69,3,0,0,0,0,"[""69""]",,2025-12-29 09:15:25.344854+00
70,4,0,0,0,0,"[""70""]",,2025-12-29 11:22:34.258321+00
71,5,0.2,1,1,1,"[""71""]","[""expand""]",2025-12-29 09:59:12.605886+00
72,3,0,0,0,0,"[""72""]",,2025-12-29 09:33:12.399611+00
73,3,0,0,0,0,"[""73""]",,2025-12-29 09:16:41.727593+00
74,4,0,0,0,0,"[""74""]",,2025-12-29 10:56:33.333868+00
75,5,0.2,1,1,1,"[""75""]","[""rephrased""]",2025-12-29 09:52:10.749149+00
76,3,0,0,0,0,"[""76""]",,2025-12-29 09:32:40.440375+00
77,7,0.285714285714286,2,2,2,"[""77""]","[""expand""]",2025-12-29 10:25:59.638499+00
78,14,0.128571428571429,1.62,1.8,1,"[""18"",""78""]","[""crossover""]",2025-12-29 08:46:22.49436+00
79,14,0.128571428571429,1.62,1.8,1,"[""34"",""79""]","[""generate""]",2025-12-29 09:46:29.191201+00
80,52,0.0173076923076923,0.81,0.9,0,"[""71"",""80""]","[""expand""]",2025-12-29 09:58:38.021786+00
81,15,0.12,1.62,1.8,1,"[""56"",""81""]","[""expand""]",2025-12-29 10:11:13.152377+00
82,13,0.246153846153846,2.56,3.2,3,"[""81"",""82""]","[""expand""]",2025-12-29 10:09:10.404003+00
83,5,0.32,1.28,1.6,1,"[""79"",""83""]","[""shorten""]",2025-12-29 09:46:15.067205+00
84,12,0.116666666666667,0.98,1.4,1,"[""83"",""84""]","[""shorten""]",2025-12-29 09:47:33.03083+00
85,8,0.175,0.98,1.4,1,"[""82"",""85""]","[""rephrased""]",2025-12-29 08:56:38.033073+00
86,3,0.4,0.72,1.2,1,"[""85"",""86""]","[""expand""]",2025-12-29 08:04:28.405928+00
87,4,0.25,0.5,1,1,"[""86"",""87""]","[""expand""]",2025-12-29 08:56:08.019446+00
88,5,0.16,0.32,0.8,1,"[""87"",""88""]","[""generate""]",2025-12-29 08:57:48.538277+00
89,4,0.675,2.43,2.7,2,"[""29"",""89""]","[""expand""]",2025-12-29 08:47:46.213813+00
90,3,0.533333333333333,1.28,1.6,1,"[""89"",""90""]","[""rephrased""]",2025-12-29 08:16:43.54796+00
91,7,0.2,0.98,1.4,1,"[""90"",""91""]","[""rephrased""]",2025-12-29 09:41:41.409251+00
92,11,0.0818181818181818,0.81,0.9,0,"[""75"",""92""]","[""rephrased""]",2025-12-29 09:50:46.415154+00
93,6,0.266666666666667,1.28,1.6,1,"[""78"",""93""]","[""generate""]",2025-12-29 09:36:54.952164+00
94,3,0.266666666666667,0.64,0.8,0,"[""89"",""94""]","[""expand""]",2025-12-29 08:48:08.47341+00
95,2,0.15,0.09,0.3,0,"[""88"",""95""]","[""generate""]",2025-12-29 08:58:05.44064+00
96,7,0.2,0.98,1.4,1,"[""82"",""96""]","[""expand""]",2025-12-29 10:06:58.055279+00
97,6,0.15,0.81,0.9,0,"[""49"",""97""]","[""rephrased""]",2025-12-29 09:53:07.830037+00
98,12,0.075,0.81,0.9,0,"[""54"",""98""]","[""crossover""]",2025-12-29 10:00:06.956301+00
99,5,0.36,1.62,1.8,1,"[""77"",""99""]","[""expand""]",2025-12-29 10:25:45.708733+00
100,13,0.123076923076923,1.28,1.6,1,"[""99"",""100""]","[""expand""]",2025-12-29 09:30:54.346719+00
101,4,0.35,0.98,1.4,1,"[""100"",""101""]","[""generate""]",2025-12-29 09:35:28.050357+00
102,3,0.3,0.81,0.9,0,"[""77"",""102""]","[""expand""]",2025-12-29 09:33:59.209427+00
103,2,0.3,0.36,0.6,0,"[""101"",""103""]","[""generate""]",2025-12-29 10:25:27.267798+00
104,3,0.233333333333333,0.49,0.7,0,"[""93"",""104""]","[""generate""]",2025-12-29 09:38:30.119124+00
105,2,0.6,0.72,1.2,1,"[""91"",""105""]","[""expand""]",2025-12-29 09:42:11.588436+00
106,2,0.25,0.25,0.5,0,"[""105"",""106""]","[""expand""]",2025-12-29 09:42:19.345369+00
107,2,0.3,0.36,0.6,0,"[""84"",""107""]","[""shorten""]",2025-12-29 09:48:04.528428+00
108,8,0.075,0.36,0.6,0,"[""96"",""108""]","[""expand""]",2025-12-29 10:13:40.115696+00
109,6,0.116666666666667,0.49,0.7,0,"[""82"",""109""]","[""expand""]",2025-12-29 10:11:23.082015+00
110,3,0.9,2.43,2.7,2,"[""56"",""110""]","[""expand""]",2025-12-29 10:33:30.150276+00
111,2,0.8,1.28,1.6,1,"[""110"",""111""]","[""crossover""]",2025-12-29 10:18:49.017863+00
112,6,0.35,1.47,2.1,2,"[""111"",""112""]","[""expand""]",2025-12-29 10:39:45.150954+00
113,3,0.4,0.72,1.2,1,"[""112"",""113""]","[""expand""]",2025-12-29 10:41:09.096135+00
114,3,0.333333333333333,0.5,1,1,"[""113"",""114""]","[""rephrased""]",2025-12-29 10:42:59.444178+00
115,9,0.133333333333333,0.48,1.2,2,"[""114"",""115""]","[""crossover""]",2025-12-29 10:48:00.108795+00
116,2,0.4,0.64,0.8,0,"[""110"",""116""]","[""expand""]",2025-12-29 10:33:40.276737+00
117,2,0.3,0.18,0.6,1,"[""115"",""117""]","[""expand""]",2025-12-29 10:38:45.824917+00
118,1,0.2,0.04,0.2,0,"[""117"",""118""]","[""expand""]",2025-12-29 10:38:45.824917+00
119,3,0.2,0.36,0.6,0,"[""112"",""119""]","[""expand""]",2025-12-29 10:41:20.160404+00
120,2,0.15,0.09,0.3,0,"[""115"",""120""]","[""crossover""]",2025-12-29 10:48:09.283352+00
121,9,0.2,1.62,1.8,1,"[""33"",""121""]","[""generate""]",2025-12-29 11:08:24.42018+00
122,7,0.228571428571429,1.28,1.6,1,"[""121"",""122""]","[""expand""]",2025-12-29 11:17:31.801087+00
123,10,0.21,1.47,2.1,2,"[""122"",""123""]","[""crossover""]",2025-12-29 11:16:53.688501+00
124,6,0.2,0.72,1.2,1,"[""123"",""124""]","[""generate""]",2025-12-29 11:10:18.086712+00
125,4,0.25,0.5,1,1,"[""124"",""125""]","[""rephrased""]",2025-12-29 11:09:41.345277+00
126,6,0.0666666666666667,0.16,0.4,0,"[""125"",""126""]","[""rephrased""]",2025-12-29 11:12:33.063633+00
127,4,0.3,0.72,1.2,1,"[""123"",""127""]","[""generate""]",2025-12-29 11:15:34.662507+00
128,4,0.125,0.25,0.5,0,"[""127"",""128""]","[""generate""]",2025-12-29 11:18:19.869646+00
129,4,0.45,1.62,1.8,1,"[""40"",""129""]","[""expand""]",2025-12-29 11:29:04.336626+00
130,2,0.4,0.64,0.8,0,"[""129"",""130""]","[""expand""]",2025-12-29 11:29:11.299296+00